Record ID,Manufacturer,Manufacturer Part Number,Provider,Status,Message,Knowledge Base Paths,PDCPartProfile Path
PMR-000001,Microchip Technology,MCP3202T-CI/SN,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Microchip_Technology__MCP3202T-CI_SN.json,output\provider_profiles\DIGIKEY__Microchip_Technology__MCP3202T-CI_SN.json
PMR-000001,Microchip Technology,MCP3202T-CI/SN,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\MICROCHIP_TECHNOLOGY__MCP3202T-CI_SN.json | Knowledge_Base\Current\TME\Product_Data\MICROCHIP_TECHNOLOGY__MCP3202T-CI_SN.json | Knowledge_Base\Current\TME\Product_Parameters\MICROCHIP_TECHNOLOGY__MCP3202T-CI_SN.json,output\provider_profiles\TME__Microchip_Technology__MCP3202T-CI_SN.json
PMR-000001,Microchip Technology,MCP3202T-CI/SN,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Microchip_Technology__MCP3202T-CI_SN.json,output\provider_profiles\MOUSER__Microchip_Technology__MCP3202T-CI_SN.json
PMR-000002,Microchip Technology,MCP3221A5T-E/OT,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Microchip_Technology__MCP3221A5T-E_OT.json,output\provider_profiles\DIGIKEY__Microchip_Technology__MCP3221A5T-E_OT.json
PMR-000002,Microchip Technology,MCP3221A5T-E/OT,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\MICROCHIP_TECHNOLOGY__MCP3221A5T-E_OT.json | Knowledge_Base\Current\TME\Product_Data\MICROCHIP_TECHNOLOGY__MCP3221A5T-E_OT.json | Knowledge_Base\Current\TME\Product_Parameters\MICROCHIP_TECHNOLOGY__MCP3221A5T-E_OT.json,output\provider_profiles\TME__Microchip_Technology__MCP3221A5T-E_OT.json
PMR-000002,Microchip Technology,MCP3221A5T-E/OT,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Microchip_Technology__MCP3221A5T-E_OT.json,output\provider_profiles\MOUSER__Microchip_Technology__MCP3221A5T-E_OT.json
PMR-000003,Texas Instruments,ADS1015IDGSR,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Texas_Instruments__ADS1015IDGSR.json,output\provider_profiles\DIGIKEY__Texas_Instruments__ADS1015IDGSR.json
PMR-000003,Texas Instruments,ADS1015IDGSR,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\TEXAS_INSTRUMENTS__ADS1015IDGSR.json | Knowledge_Base\Current\TME\Product_Data\TEXAS_INSTRUMENTS__ADS1015IDGSR.json | Knowledge_Base\Current\TME\Product_Parameters\TEXAS_INSTRUMENTS__ADS1015IDGSR.json,output\provider_profiles\TME__Texas_Instruments__ADS1015IDGSR.json
PMR-000003,Texas Instruments,ADS1015IDGSR,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Texas_Instruments__ADS1015IDGSR.json,output\provider_profiles\MOUSER__Texas_Instruments__ADS1015IDGSR.json
PMR-000004,Texas Instruments,ADC121C021CIMM/NOPB,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Texas_Instruments__ADC121C021CIMM_NOPB.json,output\provider_profiles\DIGIKEY__Texas_Instruments__ADC121C021CIMM_NOPB.json
PMR-000004,Texas Instruments,ADC121C021CIMM/NOPB,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\TEXAS_INSTRUMENTS__ADC121C021CIMM_NOPB.json | Knowledge_Base\Current\TME\Product_Data\TEXAS_INSTRUMENTS__ADC121C021CIMM_NOPB.json | Knowledge_Base\Current\TME\Product_Parameters\TEXAS_INSTRUMENTS__ADC121C021CIMM_NOPB.json,output\provider_profiles\TME__Texas_Instruments__ADC121C021CIMM_NOPB.json
PMR-000004,Texas Instruments,ADC121C021CIMM/NOPB,Mouser,Downloaded,,Knowledge_Base\Current\Mouser\Part_Number_Search\Texas_Instruments__ADC121C021CIMM_NOPB.json,output\provider_profiles\MOUSER__Texas_Instruments__ADC121C021CIMM_NOPB.json
PMR-000005,Microchip Technology,MCP3464RT-E/NC,DigiKey,Downloaded,,Knowledge_Base\Current\DigiKey\Product_Details\Microchip_Technology__MCP3464RT-E_NC.json,output\provider_profiles\DIGIKEY__Microchip_Technology__MCP3464RT-E_NC.json
PMR-000005,Microchip Technology,MCP3464RT-E/NC,TME,Downloaded,,Knowledge_Base\Current\TME\Product_Search\MICROCHIP_TECHNOLOGY__MCP3464RT-E_NC.json | Knowledge_Base\Current\TME\Product_Data\MICROCHIP_TECHNOLOGY__MCP3464RT-E_NC.json | Knowledge_Base\Current\TME\Product_Parameters\MICROCHIP_TECHNOLOGY__MCP3464RT-E_NC.json,output\provider_profiles\TME__Microchip_Technology__MCP3464RT-E_NC.json
