Record ID,Manufacturer,Manufacturer Part Number,Provider,Status,Message,Knowledge Base Paths,PDCPartProfile Path
PMR-000007,TDK Corporation,PS1440P02BT,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\TDK_Corporation__PS1440P02BT.json,
PMR-000008,MPD (Memory Protection Devices),BK-920,Mouser,Not Found,Mouser returned no parts,Knowledge_Base\Current\Mouser\Part_Number_Search\MPD_Memory_Protection_Devices__BK-920.json,
PMR-000011,Wurth,885012006004,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012006004.json,
PMR-000012,Würth Elektronik,885012007002,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012007002.json,
PMR-000014,Wurth,885012006054,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012006054.json,
PMR-000016,Wurth,885012206077,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206077.json,
PMR-000018,Wurth,885012006010,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012006010.json,
PMR-000019,Walsin Technology Corporation,0603B561J100CT,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Walsin_Technology_Corporation__0603B561J100CT.json,
PMR-000020,KEMET,C0805C561J4HAC7800,DigiKey,Failed,"RuntimeError: DigiKey 404: 
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product c0805c561j4hac7800 Not Found"",
                ""instance"": """",
                ""correlationId"": ""16d1d2a4-b84f-44de-8188-a21118ac2f7b"",
                ""errors"": []
            }
        ",,
PMR-000020,KEMET,C0805C561J4HAC7800,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\KEMET__C0805C561J4HAC7800.json,
PMR-000021,Wurth,885012206034,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206034.json,
PMR-000022,Würth Elektronik,885012007008,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012007008.json,
PMR-000024,Würth Elektronik,885012207062,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\W_rth_Elektronik__885012207062.json,
PMR-000026,Wurth,885012206014,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206014.json,
PMR-000027,KEMET,C0805C103J4RECAUTO7210,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\KEMET__C0805C103J4RECAUTO7210.json,
PMR-000030,Wurth,885012206071,TME,Not Found,TME returned no products,Knowledge_Base\Current\TME\Product_Search\Wurth__885012206071.json,
PMR-000031,YAGEO,CC0805JRX7R7BB104,DigiKey,Failed,"RuntimeError: DigiKey 404: 
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product cc0805jrx7r7bb104 Not Found"",
                ""instance"": """",
                ""correlationId"": ""ca5943af-0d30-422e-dce2-3d20e6fe6026"",
                ""errors"": []
            }
        ",,
