Record ID,Manufacturer,Manufacturer Part Number,Provider,Status,Message,Search Stage,Candidate Count,Knowledge Base Paths,PDCPartProfile Path
PMR-000001,Microchip Technology,MCP3202T-CI/SN,DigiKey,Exact Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\Microchip_Technology__MCP3202T-CI_SN.json,output\provider_profiles\DIGIKEY__Microchip_Technology__MCP3202T-CI_SN.json
PMR-000002,Microchip Technology,MCP3221A5T-E/OT,DigiKey,Exact Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\Microchip_Technology__MCP3221A5T-E_OT.json,output\provider_profiles\DIGIKEY__Microchip_Technology__MCP3221A5T-E_OT.json
PMR-000003,Texas Instruments,ADS1015IDGSR,DigiKey,Exact Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\Texas_Instruments__ADS1015IDGSR.json,output\provider_profiles\DIGIKEY__Texas_Instruments__ADS1015IDGSR.json
PMR-000004,Texas Instruments,ADC121C021CIMM/NOPB,DigiKey,Exact Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\Texas_Instruments__ADC121C021CIMM_NOPB.json,output\provider_profiles\DIGIKEY__Texas_Instruments__ADC121C021CIMM_NOPB.json
PMR-000005,Microchip Technology,MCP3464RT-E/NC,DigiKey,Exact Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\Microchip_Technology__MCP3464RT-E_NC.json,output\provider_profiles\DIGIKEY__Microchip_Technology__MCP3464RT-E_NC.json
PMR-000006,TI,ADS1232IPW,DigiKey,Multiple Candidates,Manufacturer unresolved: Manufacturer could not be resolved uniquely; best candidate was '3G Shielding Specialties LP'.,MPN-only fallback,4,,
PMR-000007,TDK Corporation,PS1440P02BT,DigiKey,Alias Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\TDK__PS1440P02BT.json,output\provider_profiles\DIGIKEY__TDK_Corporation__PS1440P02BT.json
PMR-000008,MPD (Memory Protection Devices),BK-920,DigiKey,Exact Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\MPD_Memory_Protection_Devices__BK-920.json,output\provider_profiles\DIGIKEY__MPD_Memory_Protection_Devices__BK-920.json
PMR-000009,TE Connectivity,BAT-HLD-001-THM,DigiKey,Multiple Candidates,"DigiKey 404: 
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product bat-hld-001-thm Not Found"",
                ""instance"": """",
                ""correlationId"": ""74f22451-d71a-4670-e686-bcec310b004b"",
                ""errors"": []
            }
        ",MPN-only fallback,2,,
PMR-000010,onsemi,BC847BLT3G,DigiKey,Exact Match,,Manufacturer + MPN,0,Knowledge_Base\Current\DigiKey\Product_Details\onsemi__BC847BLT3G.json,output\provider_profiles\DIGIKEY__onsemi__BC847BLT3G.json
