Knowledge ID,Knowledge Category,Status,Effective From,Effective To,Supersedes,Superseded By,Review ID,Record ID,Standard Manufacturer Name,Manufacturer Alias,Manufacturer Part Number,Procurement Variant Group,Procurement Variant MPN,Source Manufacturer,Source MPN,Relationship,Engineering Evidence,Approved By,Approved Date,Provider,Product URL
MA-6B69655EFF,Manufacturer Alias,Active,04-Aug,,,,REV-2D64D8EC14,PMR-000009,TE Connectivity,TE Connectivity Linx,,,,TE Connectivity,BAT-HLD-001-THM,Approved manufacturer alias,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM-TR/22570133
MA-68C7B8054A,Manufacturer Alias,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,TI,,,,TI,ADS1232IPW,Approved manufacturer alias,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWG4/1689137
PV-4FF033E7CA,Procurement Variant,Active,04-Aug,,,,REV-2D64D8EC14,PMR-000009,TE Connectivity,,BAT-HLD-001-THM,PVG-2AEFB3F1CF,BAT-HLD-001-THM,TE Connectivity,BAT-HLD-001-THM,Approved procurement variant,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM/3044009
PV-2F5ACF7C2D,Procurement Variant,Active,04-Aug,,,,REV-2D64D8EC14,PMR-000009,TE Connectivity,,BAT-HLD-001-THM-TR,PVG-2AEFB3F1CF,BAT-HLD-001-THM-TR,TE Connectivity,BAT-HLD-001-THM,Approved procurement variant,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM-TR/22570133
PV-69DE515260,Procurement Variant,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPW,PVG-6404C9368E,ADS1232IPW,TI,ADS1232IPW,Approved procurement variant,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPW/857691
PV-E821A926A3,Procurement Variant,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPWG4,PVG-6404C9368E,ADS1232IPWG4,TI,ADS1232IPW,Approved procurement variant,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWG4/1689137
PV-4F4DCA65A4,Procurement Variant,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPWR,PVG-6404C9368E,ADS1232IPWR,TI,ADS1232IPW,Approved procurement variant,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWR/1689138
PV-6D9C775C26,Procurement Variant,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPWRG4,PVG-6404C9368E,ADS1232IPWRG4,TI,ADS1232IPW,Approved procurement variant,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWRG4/1689139
PA-17193EFE2B,Approved Addition,Active,04-Aug,,,,REV-2D64D8EC14,PMR-000009,TE Connectivity,,BAT-HLD-001-THM,PVG-2AEFB3F1CF,,TE Connectivity,BAT-HLD-001-THM,Approved for Parts Master release review,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM/3044009
PA-C71C2779C4,Approved Addition,Active,04-Aug,,,,REV-2D64D8EC14,PMR-000009,TE Connectivity,,BAT-HLD-001-THM-TR,PVG-2AEFB3F1CF,,TE Connectivity,BAT-HLD-001-THM,Approved for Parts Master release review,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM-TR/22570133
PA-DFE77D0A8D,Approved Addition,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPW,PVG-6404C9368E,,TI,ADS1232IPW,Approved for Parts Master release review,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPW/857691
PA-5A4E6DB70A,Approved Addition,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPWG4,PVG-6404C9368E,,TI,ADS1232IPW,Approved for Parts Master release review,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWG4/1689137
PA-131AD67D40,Approved Addition,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPWR,PVG-6404C9368E,,TI,ADS1232IPW,Approved for Parts Master release review,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWR/1689138
PA-3BD0EB2A6E,Approved Addition,Active,04-Aug,,,,REV-B7413D4183,PMR-000006,Texas Instruments,,ADS1232IPWRG4,PVG-6404C9368E,,TI,ADS1232IPW,Approved for Parts Master release review,Packaging difference only,Ken,04-Aug,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWRG4/1689139
