History ID,Recorded At UTC,Review ID,Record ID,Provider,Source Manufacturer,Source MPN,Candidate Rank,Candidate Manufacturer,Candidate MPN,Review Decision,Approved Manufacturer,Approved MPN,Procurement Variant Group,Engineer Notes,Reviewed By,Reviewed Date,Evidence,Product URL,Promoted Knowledge IDs
,,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,1,Texas Instruments,ADS1232IPW,Accept,Texas Instruments,ADS1232IPW,,Packaging difference only,Ken,04-Aug,Returned MPN matches source MPN; Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPW/857691,
,,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,2,Texas Instruments,ADS1232IPWR,Accept,Texas Instruments,ADS1232IPWR,,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWR/1689138,
,,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,3,Texas Instruments,ADS1232IPWRG4,Accept,Texas Instruments,ADS1232IPWRG4,,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWRG4/1689139,
,,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,4,Texas Instruments,ADS1232IPWG4,Accept,Texas Instruments,ADS1232IPWG4,,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWG4/1689137,
,,REV-2D64D8EC14,PMR-000009,DigiKey,TE Connectivity,BAT-HLD-001-THM,1,TE Connectivity Linx,BAT-HLD-001-THM,Accept,TE Connectivity,BAT-HLD-001-THM,,Packaging difference only,Ken,04-Aug,Returned MPN matches source MPN; Manufacturer similarity score 0.8205; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM/3044009,
,,REV-2D64D8EC14,PMR-000009,DigiKey,TE Connectivity,BAT-HLD-001-THM,2,TE Connectivity Linx,BAT-HLD-001-THM-TR,Accept,TE Connectivity,BAT-HLD-001-THM-TR,,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.8205; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM-TR/22570133,
RH-99EFC30071,2026-08-07T18:03:32Z,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,1,Texas Instruments,ADS1232IPW,Accept,Texas Instruments,ADS1232IPW,PVG-6404C9368E,Packaging difference only,Ken,04-Aug,Returned MPN matches source MPN; Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPW/857691,"MA-68C7B8054A, PV-69DE515260, PA-DFE77D0A8D"
RH-F6E32F68E6,2026-08-07T18:03:32Z,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,2,Texas Instruments,ADS1232IPWR,Accept,Texas Instruments,ADS1232IPWR,PVG-6404C9368E,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWR/1689138,"MA-68C7B8054A, PV-4F4DCA65A4, PA-131AD67D40"
RH-DCC84F94F5,2026-08-07T18:03:32Z,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,3,Texas Instruments,ADS1232IPWRG4,Accept,Texas Instruments,ADS1232IPWRG4,PVG-6404C9368E,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWRG4/1689139,"MA-68C7B8054A, PV-6D9C775C26, PA-3BD0EB2A6E"
RH-FE1C1414E6,2026-08-07T18:03:32Z,REV-B7413D4183,PMR-000006,DigiKey,TI,ADS1232IPW,4,Texas Instruments,ADS1232IPWG4,Accept,Texas Instruments,ADS1232IPWG4,PVG-6404C9368E,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWG4/1689137,"MA-68C7B8054A, PV-E821A926A3, PA-5A4E6DB70A"
RH-12A67E940A,2026-08-07T18:03:32Z,REV-2D64D8EC14,PMR-000009,DigiKey,TE Connectivity,BAT-HLD-001-THM,1,TE Connectivity Linx,BAT-HLD-001-THM,Accept,TE Connectivity,BAT-HLD-001-THM,PVG-2AEFB3F1CF,Packaging difference only,Ken,04-Aug,Returned MPN matches source MPN; Manufacturer similarity score 0.8205; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM/3044009,"MA-6B69655EFF, PV-4FF033E7CA, PA-17193EFE2B"
RH-44C635E371,2026-08-07T18:03:32Z,REV-2D64D8EC14,PMR-000009,DigiKey,TE Connectivity,BAT-HLD-001-THM,2,TE Connectivity Linx,BAT-HLD-001-THM-TR,Accept,TE Connectivity,BAT-HLD-001-THM-TR,PVG-2AEFB3F1CF,Packaging difference only,Ken,04-Aug,Manufacturer similarity score 0.8205; Candidate found by MPN-only fallback,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM-TR/22570133,"MA-6B69655EFF, PV-2F5ACF7C2D, PA-C71C2779C4"
