MFG,MPN,Value,Datasheet,Footprint,Quantity,Reference,DNP
,,10uF,,Capacitor_SMD:C_0201_0603Metric,13,"C1, C2, C9, C13, C20, C54, C56, C57, C58, C68, C71, C72, C73",No
,,100nF,,Capacitor_SMD:C_0201_0603Metric,15,"C3, C4, C22, C23, C24, C26, C27, C28, C31, C47, C50, C55, C59, C67, C70",No
,,300pF,,Capacitor_SMD:C_0201_0603Metric,2,"C5, C6",No
,,4.7uF,,Capacitor_SMD:C_0201_0603Metric,4,"C7, C8, C11, C12",No
,,1uF,,Capacitor_SMD:C_0201_0603Metric,10,"C10, C15, C16, C17, C19, C29, C30, C32, C52, C69",No
,,2.2uF,,Capacitor_SMD:C_0201_0603Metric,1,C14,No
,,22uF,,Capacitor_SMD:C_0201_0603Metric,1,C18,No
,,47uF,,Capacitor_SMD:C_0201_0603Metric,1,C21,No
,,10nF,,Capacitor_SMD:C_0201_0603Metric,1,C25,No
,,6.8nF,,Capacitor_SMD:C_0402_1005Metric,2,"C33, C34",No
,,4.7nF,,Capacitor_SMD:C_0402_1005Metric,4,"C35, C36, C39, C41",No
,,100pF,,Capacitor_SMD:C_0402_1005Metric,2,"C37, C38",No
,,220pF,,Capacitor_SMD:C_0402_1005Metric,1,C40,No
,,10uF,,Capacitor_SMD:C_0402_1005Metric,2,"C42, C65",No
,,1uF,,Capacitor_SMD:C_0402_1005Metric,1,C43,No
,,1nF,,Capacitor_SMD:C_0402_1005Metric,2,"C44, C66",No
,,10pF,,Capacitor_SMD:C_0402_1005Metric,2,"C45, C46",No
,,1.6uF,,Capacitor_SMD:C_0402_1005Metric,1,C48,No
,,33pF,,Capacitor_SMD:C_0402_1005Metric,1,C49,No
,,1pF,,Capacitor_SMD:C_0402_1005Metric,2,"C51, C53",No
,,1uF,,CAPFT0402_1uF_NFM15HC105D0G3D:0402_NFM15HC105D0G3D,1,C60,No
,,3.3uF,,Capacitor_SMD:C_0402_1005Metric,1,C61,No
,,100pF,,Capacitor_SMD:C_0402_1005Metric,1,C62,Yes
,,39nF,,Capacitor_SMD:C_0402_1005Metric,2,"C63, C64",Yes
Murata,NFM15HC105D0G3D,1uF,,CAPFT0402_1uF_NFM15HC105D0G3D:0402_NFM15HC105D0G3D,1,C74,No
,,LED,,LED_SMD:LED_0201_0603Metric,1,D2,No
Lumex,SML-LX0404SIUPGUSB,LED_ARGB,,LED_SMD:LED_Lumex_SML-LX0404SIUPGUSB,1,D3,No
TDK,B74111G0050M060,,https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf,Diode_SMD:D_01005_0402Metric,1,D4,No
TDK,B74111U0055M060,,https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf,Diode_SMD:D_01005_0402Metric,7,"D5, D6, D7, D8, D9, D10, D11",No
Panasonic,ERB-RD1R50X,Fuse,,Fuse:Fuse_0402_1005Metric,1,F1,No
TDK,MPZ0603S121HT000,FerriteBead,,Inductor_SMD:L_0201_0603Metric,2,"FB1, FB2",No
Mill-Max,0900-0-15-20-76-14-11-0,NFC1,,PogoPin_1P_0900-0-15-20-76-14-11-0:PogoPin_1P_0900-0-15-20-76-14-11-0,2,"J1, J2",No
Tag-Connect LLC,,TC2050-IDC-NL,,TagConnect_10P_TC2050-IDC-NL:TagConnect_10P_TC2050-IDC-NL,1,J3,No
Hirose Electric Co Ltd,,BM28B0.6-6DP_2-0.35V_51_,,BoardConn_6P_BM28B0.6-6DP_2-0.35V_51_:BoardConn_6P_BM28B0.6-6DP_2-0.35V_51_,1,J4,No
Molex,781710003,781710003,https://www.molex.com/en-us/products/part-detail-pdf/781710003?display=pdf,SMD_CONN_3P_781710003:SMD_CONN_3P_781710003,1,J5,No
Molex,104031-0811,104031-0811,,microSD_104031-0811:microSD_104031-0811,1,J6,No
