MFG,MPN,Value,Datasheet,Footprint,Quantity,Reference,DNP,Grouping Basis,Source Rows,Source Data JSON
,,10uF,,Capacitor_SMD:C_0201_0603Metric,13,"C1, C2, C9, C13, C20, C54, C56, C57, C58, C68, C71, C72, C73",No,MFG + Value + Footprint + DNP (MPN blank),"92, 93, 94, 97, 107, 108, 109, 111, 145, 152, 156, 163, 164","[{""source_row"":92,""values"":{""Reference"":""C73"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":93,""values"":{""Reference"":""C72"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":94,""values"":{""Reference"":""C71"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":97,""values"":{""Reference"":""C68"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":107,""values"":{""Reference"":""C58"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":108,""values"":{""Reference"":""C57"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":109,""values"":{""Reference"":""C56"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":111,""values"":{""Reference"":""C54"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":145,""values"":{""Reference"":""C20"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":152,""values"":{""Reference"":""C13"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":156,""values"":{""Reference"":""C9"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":163,""values"":{""Reference"":""C2"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":164,""values"":{""Reference"":""C1"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,100nF,,Capacitor_SMD:C_0201_0603Metric,15,"C3, C4, C22, C23, C24, C26, C27, C28, C31, C47, C50, C55, C59, C67, C70",No,MFG + Value + Footprint + DNP (MPN blank),"95, 98, 106, 110, 115, 118, 134, 137, 138, 139, 141, 142, 143, 161, 162","[{""source_row"":95,""values"":{""Reference"":""C70"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":98,""values"":{""Reference"":""C67"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":106,""values"":{""Reference"":""C59"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":110,""values"":{""Reference"":""C55"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":115,""values"":{""Reference"":""C50"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":118,""values"":{""Reference"":""C47"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":134,""values"":{""Reference"":""C31"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":137,""values"":{""Reference"":""C28"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":138,""values"":{""Reference"":""C27"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":139,""values"":{""Reference"":""C26"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":141,""values"":{""Reference"":""C24"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":142,""values"":{""Reference"":""C23"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":143,""values"":{""Reference"":""C22"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":161,""values"":{""Reference"":""C4"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":162,""values"":{""Reference"":""C3"",""MF"":"""",""MPN"":"""",""Value"":""100nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,300pF,,Capacitor_SMD:C_0201_0603Metric,2,"C5, C6",No,MFG + Value + Footprint + DNP (MPN blank),"159, 160","[{""source_row"":159,""values"":{""Reference"":""C6"",""MF"":"""",""MPN"":"""",""Value"":""300pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":160,""values"":{""Reference"":""C5"",""MF"":"""",""MPN"":"""",""Value"":""300pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,4.7uF,,Capacitor_SMD:C_0201_0603Metric,4,"C7, C8, C11, C12",No,MFG + Value + Footprint + DNP (MPN blank),"153, 154, 157, 158","[{""source_row"":153,""values"":{""Reference"":""C12"",""MF"":"""",""MPN"":"""",""Value"":""4.7uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":154,""values"":{""Reference"":""C11"",""MF"":"""",""MPN"":"""",""Value"":""4.7uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":157,""values"":{""Reference"":""C8"",""MF"":"""",""MPN"":"""",""Value"":""4.7uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":158,""values"":{""Reference"":""C7"",""MF"":"""",""MPN"":"""",""Value"":""4.7uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,1uF,,Capacitor_SMD:C_0201_0603Metric,10,"C10, C15, C16, C17, C19, C29, C30, C32, C52, C69",No,MFG + Value + Footprint + DNP (MPN blank),"96, 113, 133, 135, 136, 146, 148, 149, 150, 155","[{""source_row"":96,""values"":{""Reference"":""C69"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":113,""values"":{""Reference"":""C52"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":133,""values"":{""Reference"":""C32"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":135,""values"":{""Reference"":""C30"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":136,""values"":{""Reference"":""C29"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":146,""values"":{""Reference"":""C19"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":148,""values"":{""Reference"":""C17"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":149,""values"":{""Reference"":""C16"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":150,""values"":{""Reference"":""C15"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":155,""values"":{""Reference"":""C10"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,2.2uF,,Capacitor_SMD:C_0201_0603Metric,1,C14,No,MFG + Value + Footprint + DNP (MPN blank),151,"[{""source_row"":151,""values"":{""Reference"":""C14"",""MF"":"""",""MPN"":"""",""Value"":""2.2uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,22uF,,Capacitor_SMD:C_0201_0603Metric,1,C18,No,MFG + Value + Footprint + DNP (MPN blank),147,"[{""source_row"":147,""values"":{""Reference"":""C18"",""MF"":"""",""MPN"":"""",""Value"":""22uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,47uF,,Capacitor_SMD:C_0201_0603Metric,1,C21,No,MFG + Value + Footprint + DNP (MPN blank),144,"[{""source_row"":144,""values"":{""Reference"":""C21"",""MF"":"""",""MPN"":"""",""Value"":""47uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,10nF,,Capacitor_SMD:C_0201_0603Metric,1,C25,No,MFG + Value + Footprint + DNP (MPN blank),140,"[{""source_row"":140,""values"":{""Reference"":""C25"",""MF"":"""",""MPN"":"""",""Value"":""10nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,6.8nF,,Capacitor_SMD:C_0402_1005Metric,2,"C33, C34",No,MFG + Value + Footprint + DNP (MPN blank),"131, 132","[{""source_row"":131,""values"":{""Reference"":""C34"",""MF"":"""",""MPN"":"""",""Value"":""6.8nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":132,""values"":{""Reference"":""C33"",""MF"":"""",""MPN"":"""",""Value"":""6.8nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
