Record ID,Record Status,Manufacturer,Manufacturer Part Number,Legacy AIPN,Legacy AIPN Old,Legacy Description,Legacy Family,Legacy Datasheet,Import Source,Source Sheet,Duplicate Source Rows
PMR-000001,Imported - Pending Verification,Microchip Technology,MCP3202T-CI/SN,,ICS-ADC12-SAR-2Ch-SPI-00,IC ADC 12BIT 8-SOIC,ADC,https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/21034F.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000002,Imported - Pending Verification,Microchip Technology,MCP3221A5T-E/OT,,ICS-ADC12-SAR-1Ch-I2C-00,IC ADC 12BIT SOT-23-5,ADC,https://ww1.microchip.com/downloads/en/devicedoc/20001732e.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000003,Imported - Pending Verification,Texas Instruments,ADS1015IDGSR,,ICS-ADC12-SD-4Ch-I2C-00,IC ADC 12BIT 10-VSSOP,ADC,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1013,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000004,Imported - Pending Verification,Texas Instruments,ADC121C021CIMM/NOPB,,ICS-ADC12-SAR-1Ch-I2C-01,IC ADC 12BIT 8-VSSOP,ADC,https://www.ti.com/lit/ds/symlink/adc121c021.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000005,Imported - Pending Verification,Microchip Technology,MCP3464RT-E/NC,,,IC ADC 16BIT 20-UQFN,ADC,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP3461-2-4R-Family-Data-Sheet-DS20006404C.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000006,Imported - Pending Verification,TI,ADS1232IPW,,,24 Bit Analog to Digital Converter 2 Input 1 Sigma-Delta 24-TSSOP,ADC,,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000007,Imported - Pending Verification,TDK Corporation,PS1440P02BT,,AUD-THP-1-00,BUZZER PIEZO 3V 14MM TH,AUD,https://product.tdk.com/en/system/files?file=dam/doc/product/sw_piezo/sw_piezo/piezo-buzzer/catalog/piezoelectronic_buzzer_ps_en.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000008,Imported - Pending Verification,MPD (Memory Protection Devices),BK-920,,BAT-SMD-Holder-2032-2-00,BATTERY RETAINER COIN 20MM SMD,BAT,https://www.memoryprotectiondevices.com/datasheets/BK-920/BK-920-datasheet.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000009,Imported - Pending Verification,TE Connectivity,BAT-HLD-001-THM,,BAT-THP-Holder-2032-1-00,BATT RETAINER COIN 20MM PC PIN,BAT,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=BAT-HLD-001-THM&DocType=Data+Sheet&DocLang=English&DocFormat=pdf&PartCntxt=BAT-HLD-001-THM,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000010,Imported - Pending Verification,onsemi,BC847BLT3G,,BJT-SMD-NPN-45v-0A1-00,TRANS NPN 45V 0.1A SOT23-3,BJT,https://www.onsemi.com/pub/Collateral/BC846ALT1-D.PDF,AIPN Parts Master.xlsx,My Lists Worksheet,No
