Record ID,Record Status,Manufacturer,Manufacturer Part Number,Legacy AIPN,Legacy AIPN Old,Legacy Description,Legacy Family,Legacy Datasheet,Import Source,Source Sheet,Duplicate Source Rows,Identity Key,Source Rows,Source Data JSON
PMR-000001,Imported - Pending Verification,Microchip Technology,MCP3202T-CI/SN,,ICS-ADC12-SAR-2Ch-SPI-00,IC ADC 12BIT 8-SOIC,ADC,https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/21034F.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,microchiptechnology | mcp3202t-ci/sn,2,"[{""source_row"":2,""values"":{""AIPN"":"""",""Family"":""ADC"",""Value"":""12"",""Case"":""SOIC-8"",""Image"":"""",""Description"":""IC ADC 12BIT 8-SOIC"",""Manufacturer Name"":""Microchip Technology"",""Manufacturer Part Number"":""MCP3202T-CI/SN"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""4"",""Case2"":""SOIC-8"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""ADC12"",""Param #2"":""SAR"",""Param #3"":""2ch"",""Param #4"":""SPI"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""ICS-ADC12-SAR-2Ch-SPI-00"",""LEN"":""24"",""Datasheet"":""https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/21034F.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.39.0030"",""Country of Origin"":""Thailand""}}]"
PMR-000002,Imported - Pending Verification,Microchip Technology,MCP3221A5T-E/OT,,ICS-ADC12-SAR-1Ch-I2C-00,IC ADC 12BIT SOT-23-5,ADC,https://ww1.microchip.com/downloads/en/devicedoc/20001732e.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,microchiptechnology | mcp3221a5t-e/ot,3,"[{""source_row"":3,""values"":{""AIPN"":"""",""Family"":""ADC"",""Value"":""12"",""Case"":""SOT-23-5"",""Image"":"""",""Description"":""IC ADC 12BIT SOT-23-5"",""Manufacturer Name"":""Microchip Technology"",""Manufacturer Part Number"":""MCP3221A5T-E/OT"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""5"",""Case2"":""VSSOP-10"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""ADC12"",""Param #2"":""SAR"",""Param #3"":""1ch"",""Param #4"":""I2C"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""ICS-ADC12-SAR-1Ch-I2C-00"",""LEN"":""24"",""Datasheet"":""https://ww1.microchip.com/downloads/en/devicedoc/20001732e.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.39.0030"",""Country of Origin"":""Thailand""}}]"
PMR-000003,Imported - Pending Verification,Texas Instruments,ADS1015IDGSR,,ICS-ADC12-SD-4Ch-I2C-00,IC ADC 12BIT 10-VSSOP,ADC,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1013,AIPN Parts Master.xlsx,My Lists Worksheet,No,texasinstruments | ads1015idgsr,4,"[{""source_row"":4,""values"":{""AIPN"":"""",""Family"":""ADC"",""Value"":""12"",""Case"":""VSSOP-10"",""Image"":"""",""Description"":""IC ADC 12BIT 10-VSSOP"",""Manufacturer Name"":""Texas Instruments"",""Manufacturer Part Number"":""ADS1015IDGSR"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""9"",""Case2"":""VSSOP-10"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""ADC12"",""Param #2"":""SD"",""Param #3"":""4ch"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""ICS-ADC12-SD-4Ch-I2C-00"",""LEN"":""23"",""Datasheet"":""https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1013"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.39.0030"",""Country of Origin"":""Japan""}}]"
PMR-000004,Imported - Pending Verification,Texas Instruments,ADC121C021CIMM/NOPB,,ICS-ADC12-SAR-1Ch-I2C-01,IC ADC 12BIT 8-VSSOP,ADC,https://www.ti.com/lit/ds/symlink/adc121c021.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,texasinstruments | adc121c021cimm/nopb,5,"[{""source_row"":5,""values"":{""AIPN"":"""",""Family"":""ADC"",""Value"":""12"",""Case"":""VSSOP-8"",""Image"":"""",""Description"":""IC ADC 12BIT 8-VSSOP"",""Manufacturer Name"":""Texas Instruments"",""Manufacturer Part Number"":""ADC121C021CIMM/NOPB"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""26"",""Case2"":""VSSOP-8"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""ADC12"",""Param #2"":""SAR"",""Param #3"":""1ch"",""Param #4"":""I2C"",""Rev"":""1"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""ICS-ADC12-SAR-1Ch-I2C-01"",""LEN"":""24"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/adc121c021.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.39.0030"",""Country of Origin"":""United States""}}]"
PMR-000005,Imported - Pending Verification,Microchip Technology,MCP3464RT-E/NC,,,IC ADC 16BIT 20-UQFN,ADC,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP3461-2-4R-Family-Data-Sheet-DS20006404C.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,microchiptechnology | mcp3464rt-e/nc,6,"[{""source_row"":6,""values"":{""AIPN"":"""",""Family"":""ADC"",""Value"":""16"",""Case"":""UQFN-20"",""Image"":"""",""Description"":""IC ADC 16BIT 20-UQFN"",""Manufacturer Name"":""Microchip Technology"",""Manufacturer Part Number"":""MCP3464RT-E/NC"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""4"",""Case2"":"""",""Case3"":"""",""Case Displayed as"":"""",""Param #1"":"""",""Param #2"":"""",""Param #3"":"""",""Param #4"":"""",""Rev"":""0"",""Params used"":""2"",""AIPN Occurrence"":""30"",""AIPN - OLD"":"""",""LEN"":""5"",""Datasheet"":""https://ww1.microchip.com/downloads/en/DeviceDoc/MCP3461-2-4R-Family-Data-Sheet-DS20006404C.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.39.0030"",""Country of Origin"":""Taiwan""}}]"
PMR-000006,Imported - Pending Verification,TI,ADS1232IPW,,,24 Bit Analog to Digital Converter 2 Input 1 Sigma-Delta 24-TSSOP,ADC,,AIPN Parts Master.xlsx,My Lists Worksheet,No,ti | ads1232ipw,7,"[{""source_row"":7,""values"":{""AIPN"":"""",""Family"":""ADC"",""Value"":""24"",""Case"":""TSSOP-24"",""Image"":"""",""Description"":""24 Bit Analog to Digital Converter 2 Input 1 Sigma-Delta 24-TSSOP"",""Manufacturer Name"":""TI"",""Manufacturer Part Number"":""ADS1232IPW"",""Lifecycle"":"""",""Leadtime(WKS)"":"""",""Case2"":"""",""Case3"":"""",""Case Displayed as"":"""",""Param #1"":"""",""Param #2"":"""",""Param #3"":"""",""Param #4"":"""",""Rev"":""0"",""Params used"":""2"",""AIPN Occurrence"":""30"",""AIPN - OLD"":"""",""LEN"":""5"",""Datasheet"":"""",""RoHS Status"":"""",""Moisture Sensitivity Level (MSL)"":"""",""ECCN"":"""",""HTSUS"":"""",""Country of Origin"":""""}}]"
PMR-000007,Imported - Pending Verification,TDK Corporation,PS1440P02BT,,AUD-THP-1-00,BUZZER PIEZO 3V 14MM TH,AUD,https://product.tdk.com/en/system/files?file=dam/doc/product/sw_piezo/sw_piezo/piezo-buzzer/catalog/piezoelectronic_buzzer_ps_en.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,tdkcorporation | ps1440p02bt,8,"[{""source_row"":8,""values"":{""AIPN"":"""",""Family"":""AUD"",""Value"":""3"",""Case"":""THT"",""Image"":"""",""Description"":""BUZZER PIEZO 3V 14MM TH"",""Manufacturer Name"":""TDK Corporation"",""Manufacturer Part Number"":""PS1440P02BT"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""8"",""Case2"":""THT"",""Case3"":""THP"",""Case Displayed as"":""THP"",""Param #1"":""1"",""Param #2"":"""",""Param #3"":"""",""Param #4"":"""",""Rev"":""0"",""Params used"":""4"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""AUD-THP-1-00"",""LEN"":""12"",""Datasheet"":""https://product.tdk.com/en/system/files?file=dam/doc/product/sw_piezo/sw_piezo/piezo-buzzer/catalog/piezoelectronic_buzzer_ps_en.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8531.80.9041"",""Country of Origin"":""China""}}]"
PMR-000008,Imported - Pending Verification,MPD (Memory Protection Devices),BK-920,,BAT-SMD-Holder-2032-2-00,BATTERY RETAINER COIN 20MM SMD,BAT,https://www.memoryprotectiondevices.com/datasheets/BK-920/BK-920-datasheet.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,mpdmemoryprotectiondevices | bk-920,9,"[{""source_row"":9,""values"":{""AIPN"":"""",""Family"":""BAT"",""Value"":""20"",""Case"":""SMD"",""Image"":"""",""Description"":""BATTERY RETAINER COIN 20MM SMD"",""Manufacturer Name"":""MPD (Memory Protection Devices)"",""Manufacturer Part Number"":""BK-920"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""20"",""Case2"":""SMD"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""Holder"",""Param #2"":""2032"",""Param #3"":""2"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""BAT-SMD-Holder-2032-2-00"",""LEN"":""24"",""Datasheet"":""https://www.memoryprotectiondevices.com/datasheets/BK-920/BK-920-datasheet.pdf"",""RoHS Status"":""RoHS Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.8000"",""Country of Origin"":""China""}}]"
PMR-000009,Imported - Pending Verification,TE Connectivity,BAT-HLD-001-THM,,BAT-THP-Holder-2032-1-00,BATT RETAINER COIN 20MM PC PIN,BAT,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=BAT-HLD-001-THM&DocType=Data+Sheet&DocLang=English&DocFormat=pdf&PartCntxt=BAT-HLD-001-THM,AIPN Parts Master.xlsx,My Lists Worksheet,No,teconnectivity | bat-hld-001-thm,10,"[{""source_row"":10,""values"":{""AIPN"":"""",""Family"":""BAT"",""Value"":""20"",""Case"":""THT"",""Image"":"""",""Description"":""BATT RETAINER COIN 20MM PC PIN"",""Manufacturer Name"":""TE Connectivity"",""Manufacturer Part Number"":""BAT-HLD-001-THM"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""11"",""Case2"":""THT"",""Case3"":""THP"",""Case Displayed as"":""THP"",""Param #1"":""Holder"",""Param #2"":""2032"",""Param #3"":""1"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""BAT-THP-Holder-2032-1-00"",""LEN"":""24"",""Datasheet"":""https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=BAT-HLD-001-THM&DocType=Data+Sheet&DocLang=English&DocFormat=pdf&PartCntxt=BAT-HLD-001-THM"",""RoHS Status"":""RoHS Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""Taiwan""}}]"
PMR-000010,Imported - Pending Verification,onsemi,BC847BLT3G,,BJT-SMD-NPN-45v-0A1-00,TRANS NPN 45V 0.1A SOT23-3,BJT,https://www.onsemi.com/pub/Collateral/BC846ALT1-D.PDF,AIPN Parts Master.xlsx,My Lists Worksheet,No,onsemi | bc847blt3g,11,"[{""source_row"":11,""values"":{""AIPN"":"""",""Family"":""BJT"",""Value"":""45"",""Case"":""SOT-23-3"",""Image"":"""",""Description"":""TRANS NPN 45V 0.1A SOT23-3"",""Manufacturer Name"":""onsemi"",""Manufacturer Part Number"":""BC847BLT3G"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""52"",""Case2"":""SOT-23-3"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""NPN"",""Param #2"":""45v"",""Param #3"":""0A1"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""BJT-SMD-NPN-45v-0A1-00"",""LEN"":""22"",""Datasheet"":""https://www.onsemi.com/pub/Collateral/BC846ALT1-D.PDF"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8541.21.0075"",""Country of Origin"":""China""}}]"
